iter	Passed	Remaining
0	2	230
1	4	216
2	6	204
3	7	186
4	9	189
5	12	189
6	14	187
7	16	186
8	18	183
9	20	182
10	22	178
11	24	177
12	26	175
13	28	174
14	30	172
15	32	170
16	34	168
17	36	167
18	38	165
19	40	163
20	42	160
21	44	158
22	46	157
23	49	155
24	51	154
25	53	152
26	55	149
27	57	148
28	59	145
29	61	143
30	64	143
31	66	141
32	68	139
33	70	137
34	72	135
35	74	133
36	77	131
37	79	129
38	81	126
39	83	124
40	85	122
41	86	118
42	88	116
43	90	114
44	92	112
45	94	110
46	95	108
47	97	106
48	99	104
49	101	101
50	103	99
51	106	98
52	108	96
53	110	94
54	111	91
55	114	89
56	116	87
57	118	86
58	121	84
59	123	82
60	126	80
61	129	79
62	132	77
63	134	75
64	136	73
65	138	71
66	140	69
67	142	67
68	144	65
69	146	62
70	149	60
71	151	58
72	153	56
73	155	54
74	157	52
75	159	50
76	162	48
77	164	46
78	166	44
79	168	42
80	170	40
81	172	37
82	174	35
83	176	33
84	178	31
85	181	29
86	183	27
87	184	25
88	186	23
89	189	21
90	192	19
91	196	17
92	199	15
93	202	12
94	204	10
95	207	8
96	209	6
97	212	4
98	214	2
99	217	0
